#,prjId,Period,Time,StartDate,EndDate,forks,members,commits,issues,watchers,pullReq,CmtCmnt,pullReqCmnt,PR Issue Cmnt,issueCmnt,committers,MemCommitters,PRClosedCnt,IssueClosedCnt,PRClosedTime,IssueClosedTime,Health,Licence,ContribFile,MemIssue,NonMemIssue,OwnerFollower,AvgFollower,OwnerType,MemCommit
505,93803,2011-1,1,1/01/2011 12:00:00 a.m.,1/04/2011 12:00:00 a.m.,0,4,11,0,4,0,0,0,0,0,2,1,0,0,,,33,Other,,0,0,0,0,USR,1
506,93803,2011-4,2,1/04/2011 12:00:00 a.m.,1/07/2011 12:00:00 a.m.,0,4,23,0,4,0,0,0,0,0,3,2,0,0,,,33,Other,,0,0,0,0,USR,2
507,93803,2011-7,3,1/07/2011 12:00:00 a.m.,1/10/2011 12:00:00 a.m.,0,4,52,0,4,0,0,0,0,0,3,2,0,0,,,33,Other,,0,0,0,0,USR,2
508,93803,2011-10,4,1/10/2011 12:00:00 a.m.,1/01/2012 12:00:00 a.m.,0,4,77,0,4,0,0,0,0,0,4,2,0,0,,,33,Other,,0,0,0,0,USR,2
509,93803,2012-1,5,1/01/2012 12:00:00 a.m.,1/04/2012 12:00:00 a.m.,0,4,89,0,4,0,0,0,0,0,5,3,0,0,,,33,Other,,0,0,0,0,USR,3
510,93803,2012-4,6,1/04/2012 12:00:00 a.m.,1/07/2012 12:00:00 a.m.,1,7,93,0,5,0,0,0,0,0,5,3,0,0,,,33,Other,,0,0,0,0,USR,3
511,93803,2012-7,7,1/07/2012 12:00:00 a.m.,1/10/2012 12:00:00 a.m.,2,7,140,2,5,2,0,0,0,0,6,4,0,0,,,33,Other,,1,0,0,0,USR,4
512,93803,2012-10,8,1/10/2012 12:00:00 a.m.,1/01/2013 12:00:00 a.m.,2,7,147,2,5,7,0,0,0,0,6,4,2,2,20432.45,20432.45,33,Other,,1,0,0,0,USR,4
513,95145,2011-1,1,1/01/2011 12:00:00 a.m.,1/04/2011 12:00:00 a.m.,0,5,13,0,8,0,0,0,0,0,1,1,0,0,,,33,,,0,0,21,13,USR,1
514,95145,2011-4,2,1/04/2011 12:00:00 a.m.,1/07/2011 12:00:00 a.m.,0,5,14,0,8,0,0,0,0,0,1,1,0,0,,,33,,,0,0,22,14,USR,1
515,95145,2011-7,3,1/07/2011 12:00:00 a.m.,1/10/2011 12:00:00 a.m.,0,5,15,0,8,0,0,0,0,0,1,1,0,0,,,33,,,0,0,23,14,USR,1
516,95145,2011-10,4,1/10/2011 12:00:00 a.m.,1/01/2012 12:00:00 a.m.,0,5,15,0,8,0,0,0,0,0,1,1,0,0,,,33,,,0,0,25,14,USR,1
517,95145,2012-1,5,1/01/2012 12:00:00 a.m.,1/04/2012 12:00:00 a.m.,0,5,15,0,8,0,0,0,0,0,1,1,0,0,,,33,,,0,0,27,15,USR,1
518,95145,2012-4,6,1/04/2012 12:00:00 a.m.,1/07/2012 12:00:00 a.m.,0,5,15,0,8,0,0,0,0,0,1,1,0,0,,,33,,,0,0,29,15,USR,1
519,95145,2012-7,7,1/07/2012 12:00:00 a.m.,1/10/2012 12:00:00 a.m.,0,6,17,0,8,0,0,0,0,0,3,3,0,0,,,33,,,0,0,31,14,USR,3
520,95145,2012-10,8,1/10/2012 12:00:00 a.m.,1/01/2013 12:00:00 a.m.,0,6,18,0,8,0,0,0,0,0,3,3,0,0,,,33,,,0,0,32,14,USR,3
521,112304,2011-1,1,1/01/2011 12:00:00 a.m.,1/04/2011 12:00:00 a.m.,0,5,15,0,5,0,0,0,0,0,1,0,0,0,,,50,Other,,0,0,1,2,ORG,0
522,112304,2011-4,2,1/04/2011 12:00:00 a.m.,1/07/2011 12:00:00 a.m.,0,5,47,0,5,0,0,0,0,0,2,0,0,0,,,50,Other,,0,0,1,2,ORG,0
523,112304,2011-7,3,1/07/2011 12:00:00 a.m.,1/10/2011 12:00:00 a.m.,0,5,59,0,5,0,0,0,0,0,2,0,0,0,,,50,Other,,0,0,1,2,ORG,0
524,112304,2011-10,4,1/10/2011 12:00:00 a.m.,1/01/2012 12:00:00 a.m.,0,5,104,0,5,0,0,0,0,0,3,1,0,0,,,50,Other,,0,0,1,2,ORG,1
525,112304,2012-1,5,1/01/2012 12:00:00 a.m.,1/04/2012 12:00:00 a.m.,0,5,160,0,5,0,0,0,0,0,4,2,0,0,,,50,Other,,0,0,1,2,ORG,2
526,112304,2012-4,6,1/04/2012 12:00:00 a.m.,1/07/2012 12:00:00 a.m.,0,6,177,0,5,0,0,0,0,0,5,3,0,0,,,50,Other,,0,0,1,2,ORG,3
527,112304,2012-7,7,1/07/2012 12:00:00 a.m.,1/10/2012 12:00:00 a.m.,0,7,236,0,5,0,0,0,0,0,8,4,0,0,,,50,Other,,0,0,1,1,ORG,4
